Subject,Age,Gender,Recording year,Number of subtractions,Count quality
Subject00,21,F,2011,9.7,0
Subject01,18,F,2011,29.35,1
Subject02,19,F,2012,12.88,1
Subject03,17,F,2010,31,1
Subject04,17,F,2010,8.6,0
Subject05,16,F,2010,20.71,1
Subject06,18,M,2011,4.35,0
Subject07,18,F,2012,13.38,1
Subject08,26,M,2011,18.24,1
Subject09,16,F,2010,7,0
Subject10,17,F,2010,1,0
Subject11,18,F,2010,26,1
Subject12,17,F,2010,26.36,1
Subject13,24,M,2012,34,1
Subject14,17,F,2010,9,0
Subject15,17,F,2012,22.18,1
Subject16,17,F,2010,11.59,1
Subject17,17,F,2010,28.7,1
Subject18,17,F,2010,20,1
Subject19,22,M,2010,7.06,0
Subject20,17,F,2010,15.41,1
Subject21,20,F,2010,1,0
Subject22,19,F,2011,4.47,0
Subject23,16,F,2010,27.47,1
Subject24,17,M,2012,14.76,1
Subject25,17,M,2012,30.53,1
Subject26,17,F,2010,13.59,1
Subject27,19,F,2010,34.59,1
Subject28,19,F,2010,27,1
Subject29,19,M,2011,16.59,1
Subject30,17,M,2011,10,0
Subject31,19,F,2012,19.88,1
Subject32,20,F,2011,13,1
Subject33,17,M,2010,21.47,1
Subject34,18,F,2010,31,1
Subject35,17,F,2010,12.18,1
